,Title,type,subway,check,score_Кухня,score_Интерьер,score_Сервис,votes,district
1,Лобби-бар отеля «Европа»,Кафе,"Невский Проспект, Гостиный Двор",3300.0,0.0,0.0,0.0,1.0,distr_Centr
5,Кабинет-портрет,Ресторан,"Владимирская, Достоевская",1200.0,8.6,9.4,8.8,76.0,distr_Centr
6,Legran,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",2500.0,8.9,9.5,9.0,65.0,distr_Centr
14,Мойка 3,Ресторан,"Невский Проспект, Гостиный Двор",1300.0,8.2,8.4,8.3,4.0,distr_Centr
18,Северянин,Ресторан,"Садовая, Сенная Площадь, Спасская",1500.0,8.1,8.0,8.4,34.0,distr_Centr
19,Тамар,Ресторан,"Гостиный Двор, Невский Проспект",1300.0,0.0,0.0,0.0,3.0,distr_Centr
22,Blackwood,Паб,Чернышевская,1300.0,8.8,8.9,8.6,10.0,distr_Centr
27,Jungle,Кафе,"Невский Проспект, Гостиный Двор",1000.0,7.3,8.4,7.0,40.0,distr_Centr
28,Birch,Ресторан,Чернышевская,1200.0,9.0,8.6,8.7,38.0,distr_Centr
32,Par,Ресторан,Чернышевская,1200.0,8.8,9.2,8.7,322.0,distr_Centr
37,Vsёхорошо!,Ресторан,"Сенная Площадь, Садовая, Спасская",750.0,7.0,7.2,6.1,113.0,distr_Centr
41,Tsunami,Ресторан,"Площадь Восстания, Маяковская",1100.0,8.3,7.6,8.1,36.0,distr_Centr
43,Animals,Ресторан,Чернышевская,1200.0,8.3,8.3,7.5,14.0,distr_Centr
46,Kuznya House,Ресторан,"Садовая, Сенная Площадь, Спасская",1500.0,6.2,7.5,6.2,32.0,distr_Centr
47,Hard Rock Cafe,Кафе,"Садовая, Сенная Площадь, Спасская",1200.0,8.4,9.7,8.6,10.0,distr_Centr
50,Траппист,Бар,"Чернышевская, Маяковская, Площадь Восстания",1500.0,8.1,8.0,8.1,57.0,distr_Centr
53,СВЧ,Кулинарная студия,"Садовая, Спасская, Сенная Площадь",1500.0,10.0,9.7,9.9,7.0,distr_Centr
56,Пхали хинкали,Ресторан,"Невский Проспект, Гостиный Двор",850.0,7.4,8.4,7.7,10.0,distr_Centr
57,Jager Restopub,Ресторан,Маяковская,1100.0,7.9,8.8,7.3,15.0,distr_Centr
58,St. Martin,Бар,"Гостиный Двор, Маяковская",1300.0,9.4,9.6,9.9,10.0,distr_Centr
59,Хочу харчо,Ресторан,"Садовая, Сенная Площадь, Спасская",1900.0,8.4,8.3,8.1,169.0,distr_Centr
62,Red Stars,Ресторан,"Сенная Площадь, Садовая, Спасская, Технологический Институт, Адмиралтейская, Балтийская",1350.0,10.0,10.0,10.0,5.0,distr_Centr
63,Рибай,Ресторан,"Невский Проспект, Гостиный Двор",2500.0,7.9,8.9,8.0,62.0,distr_Centr
65,Литературное кафе,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",1850.0,8.7,9.3,8.8,147.0,distr_Centr
67,Менуа,Ресторан,"Невский Проспект, Гостиный Двор",1000.0,8.5,9.0,8.8,60.0,distr_Centr
68,Meal,Ресторан,Чернышевская,1100.0,8.5,8.2,8.7,12.0,distr_Centr
74,Full House Restobar,Ресторан,Невский Проспект,1500.0,9.4,8.8,9.4,48.0,distr_Centr
75,La Russ,Ресторан,"Адмиралтейская, Гостиный Двор, Невский Проспект",1300.0,8.4,8.8,8.8,67.0,distr_Centr
78,Кофейня №1,Кафе,"Площадь Восстания, Маяковская",1000.0,6.5,6.9,5.6,9.0,distr_Centr
83,Bilbao,Ресторан,"Площадь Восстания, Маяковская",1600.0,7.5,7.5,8.4,3.0,distr_Centr
85,Gastroli,Ресторан,"Чернышевская, Гостиный Двор",1400.0,7.3,8.4,8.0,17.0,distr_Centr
86,Киликия,Кафе,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",1100.0,8.6,8.3,8.9,77.0,distr_Centr
95,Гуси-Лебеди,Ресторан,Чернышевская,1300.0,8.0,9.1,8.3,14.0,distr_Centr
98,Паркъ Джузеппе,Ресторан,"Невский Проспект, Гостиный Двор",1400.0,7.9,8.1,7.2,127.0,distr_Centr
99,Сундук,Кафе,Чернышевская,1400.0,7.7,8.9,7.0,38.0,distr_Centr
100,Чайки,Гастробар,"Невский Проспект, Гостиный Двор",1150.0,8.4,8.1,7.4,30.0,distr_Centr
102,Utopist,Бар,"Площадь Восстания, Маяковская, Чернышевская",300.0,6.9,6.3,6.0,3.0,distr_Centr
103,Bo,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,1.0,distr_Centr
104,Четыре сыра,Ресторан,"Гостиный Двор, Невский Проспект",1400.0,7.6,8.1,7.6,9.0,distr_Centr
109,Такты,Бар,"Площадь Восстания, Маяковская",300.0,0.0,0.0,0.0,2.0,distr_Centr
113,Bacchus Bar & Shop,Бар,"Гостиный Двор, Невский Проспект",500.0,0.0,0.0,0.0,2.0,distr_Centr
117,Эzo,Кафе,"Сенная Площадь, Спасская, Садовая",800.0,0.0,0.0,0.0,2.0,distr_Centr
124,Public cafe,Кафе,Невский Проспект,1100.0,0.0,0.0,0.0,3.0,distr_Centr
125,Место встречи,Кафе,"Лиговский Проспект, Обводный канал",450.0,6.1,6.4,5.0,10.0,distr_Centr
127,Аладастури,Кафе,"Невский Проспект, Гостиный Двор",800.0,0.0,0.0,0.0,1.0,distr_Centr
129,Виктория,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",3000.0,0.0,0.0,0.0,1.0,distr_Centr
130,San Diego,Кафе,"Сенная Площадь, Садовая, Спасская",400.0,0.0,0.0,0.0,2.0,distr_Centr
133,Дагестанская лавка,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,1.0,distr_Centr
137,Бюро,Бар,"Маяковская, Площадь Восстания",500.0,7.1,6.5,6.8,13.0,distr_Centr
140,Love you so matcha,Кафе,"Садовая, Спасская, Сенная Площадь",400.0,0.0,0.0,0.0,1.0,distr_Centr
154,Camorra,Пиццерия,"Сенная Площадь, Садовая, Спасская",350.0,6.0,5.7,7.3,4.0,distr_Centr
157,Karlovy Pivovary,Ресторан,"Невский Проспект, Гостиный Двор",1200.0,7.0,7.7,7.7,21.0,distr_Centr
160,На парах,Кафе,"Гостиный Двор, Невский Проспект",850.0,0.0,0.0,0.0,2.0,distr_Centr
161,Romeo's Bar & Kitchen,Ресторан,"Садовая, Сенная Площадь, Спасская, Адмиралтейская",1500.0,7.3,7.7,7.1,17.0,distr_Centr
166,Зеленая комната,Кофейня,Лиговский Проспект,300.0,6.1,8.0,5.1,30.0,distr_Centr
169,Ботаника,Кафе,"Невский Проспект, Гостиный Двор, Чернышевская",850.0,6.6,6.8,6.5,29.0,distr_Centr
173,Hamlet + Jacks,Ресторан,"Адмиралтейская, Невский Проспект, Гостиный Двор",1500.0,7.7,8.1,7.5,31.0,distr_Centr
176,Чайхона № 1,Ресторан,"Маяковская, Площадь Восстания",1400.0,6.9,8.0,6.7,64.0,distr_Centr
177,Fiolet,Ресторан,"Невский Проспект, Гостиный Двор",1650.0,8.4,8.6,7.7,79.0,distr_Centr
180,Марчеллис,Ресторан,"Маяковская, Площадь Восстания",1200.0,6.9,7.3,6.7,130.0,distr_Centr
182,Библиотека вкусов,Ресторан,"Невский Проспект, Гостиный Двор",900.0,6.6,7.5,6.5,78.0,distr_Centr
183,Катюша,Ресторан,"Невский Проспект, Гостиный Двор",1550.0,8.2,8.8,7.8,34.0,distr_Centr
189,Европа,Ресторан,"Невский Проспект, Гостиный Двор",3850.0,7.9,8.4,8.2,14.0,distr_Centr
190,Тархун,Ресторан,"Невский Проспект, Гостиный Двор",1500.0,8.2,7.9,8.2,134.0,distr_Centr
198,Brasserie Kriek,Ресторан,Гостиный Двор,1100.0,7.8,7.7,7.6,28.0,distr_Centr
199,Паштет,Кафе,"Садовая, Сенная Площадь, Спасская",900.0,8.8,8.5,9.3,10.0,distr_Centr
201,Schengen,Ресторан,Чернышевская,1200.0,7.7,8.0,8.3,34.0,distr_Centr
202,Tawny,Бар,"Гостиный Двор, Чернышевская, Невский Проспект",1000.0,7.2,8.9,7.4,17.0,distr_Centr
204,Feromon Efimova,Кафе,"Сенная Площадь, Спасская, Садовая",1300.0,9.3,8.5,7.3,10.0,distr_Centr
207,Vox,Ресторан,Чернышевская,2270.0,7.1,8.3,8.0,35.0,distr_Centr
211,Wine Gogh,Ресторан,"Невский Проспект, Гостиный Двор",1200.0,8.3,9.3,9.1,11.0,distr_Centr
212,Milutin Palace,Ресторан,"Невский Проспект, Гостиный Двор",1900.0,10.0,10.0,10.0,7.0,distr_Centr
216,Mindal Cafe,Ресторан,Чернышевская,1250.0,8.4,8.6,8.3,54.0,distr_Centr
218,Est!Сafe,Ресторан,"Садовая, Сенная Площадь, Спасская",760.0,8.6,9.1,8.8,25.0,distr_Centr
219,Таверна Сиртаки,Ресторан,"Маяковская, Гостиный Двор",1100.0,9.7,9.7,9.2,33.0,distr_Centr
221,The Red Corner,Паб,Чернышевская,700.0,0.0,0.0,0.0,3.0,distr_Centr
222,The Office Nargilia Lounge,Кальянная,"Владимирская, Достоевская",1200.0,9.1,9.5,9.5,33.0,distr_Centr
223,Фартук кейтеринг,Кейтеринг,"Владимирская, Достоевская",1700.0,10.0,9.9,9.9,16.0,distr_Centr
224,Анонимное общество усердных дегустаторов,Бар,"Достоевская, Владимирская",700.0,7.5,7.2,6.5,7.0,distr_Centr
225,Lounge Room,Кальянная,"Гостиный Двор, Невский Проспект",1200.0,9.4,9.3,9.5,44.0,distr_Centr
226,O! Cuba,Ресторан,"Владимирская, Достоевская",1200.0,7.9,8.8,7.9,120.0,distr_Centr
227,Hunt,Ресторан,"Владимирская, Достоевская",1500.0,7.6,8.2,7.5,45.0,distr_Centr
228,Duo Asia,Ресторан,Достоевская,1500.0,8.5,8.1,8.6,48.0,distr_Centr
229,The Sizzle,Ресторан,"Достоевская, Владимирская",1500.0,8.9,8.9,8.4,27.0,distr_Centr
230,#Трудовыебудни,Бар,"Достоевская, Владимирская",800.0,9.1,8.8,8.8,16.0,distr_Centr
231,МА,Ресторан,"Владимирская, Достоевская",1400.0,8.3,8.4,8.1,20.0,distr_Centr
232,Commode,Бар,"Маяковская, Гостиный Двор",100.0,6.6,7.5,6.7,7.0,distr_Centr
233,Zazazu,Бар,"Владимирская, Достоевская",1000.0,9.0,9.3,9.5,9.0,distr_Centr
234,Сайгон,Бар,"Гостиный Двор, Маяковская",300.0,8.6,7.4,8.2,6.0,distr_Centr
235,Искра,Пиццерия,"Владимирская, Достоевская",1100.0,7.4,7.3,8.1,15.0,distr_Centr
236,La Perla Seafood Bar,Ресторан,"Владимирская, Достоевская",1300.0,7.9,4.0,8.2,5.0,distr_Centr
237,Tres Amigos,Ресторан,"Владимирская, Достоевская, Пушкинская, Звенигородская",1400.0,8.2,7.6,8.0,136.0,distr_Centr
238,Чайный дом,Кафе,"Владимирская, Достоевская",1100.0,7.2,7.8,7.2,31.0,distr_Centr
239,Хачапурная,Кафе,"Владимирская, Достоевская",550.0,7.3,6.7,6.7,13.0,distr_Centr
240,Vinostudia,Винотека,"Владимирская, Достоевская",1250.0,7.4,6.8,7.2,53.0,distr_Centr
241,Fiddler's Green,Паб,"Достоевская, Маяковская",250.0,6.2,7.0,6.3,19.0,distr_Centr
242,Леонардо,Кафе,"Владимирская, Достоевская",1300.0,7.4,7.9,6.6,13.0,distr_Centr
243,Mollie's,Паб,"Владимирская, Достоевская, Гостиный Двор",1500.0,7.3,7.7,7.2,48.0,distr_Centr
244,Gods,Ресторан,"Владимирская, Достоевская",2500.0,0.0,0.0,0.0,4.0,distr_Centr
245,Проходимец,Бар,"Владимирская, Достоевская, Маяковская, Площадь Восстания",800.0,6.7,6.7,5.3,33.0,distr_Centr
246,City Grill Express,Кафе,"Маяковская, Площадь Восстания",400.0,7.6,8.5,7.0,6.0,distr_Centr
247,Угрюмочная,Бар,"Невский Проспект, Гостиный Двор",200.0,0.0,9.0,10.0,1.0,distr_Centr
248,Компромисс,Бар,"Владимирская, Достоевская",100.0,9.5,7.8,7.4,5.0,distr_Centr
249,Kirkenes,Кафе,"Владимирская, Достоевская",300.0,0.0,0.0,0.0,23.0,distr_Centr
250,S'aint,Бар,"Владимирская, Достоевская",700.0,0.0,0.0,0.0,4.0,distr_Centr
251,Noir,Ресторан,"Владимирская, Достоевская",600.0,0.0,0.0,0.0,3.0,distr_Centr
252,Чебуреки и рюмочная у Ларисы,Кафе,"Владимирская, Достоевская",600.0,0.0,0.0,0.0,3.0,distr_Centr
253,Monkey Bar,Бар,"Маяковская, Площадь Восстания",800.0,0.0,0.0,0.0,2.0,distr_Centr
254,Mr. Rowdy & Co,Бар,"Достоевская, Владимирская",700.0,0.0,0.0,0.0,1.0,distr_Centr
255,1/2 of you,Кальянная,"Площадь Восстания, Маяковская",1000.0,0.0,0.0,0.0,2.0,distr_Centr
256,Fan of Donuts,Кофейня,"Достоевская, Владимирская",200.0,8.2,7.6,8.3,3.0,distr_Centr
257,Smoke BBQ,Ресторан,"Достоевская, Владимирская",1400.0,8.5,8.1,8.5,39.0,distr_Centr
258,Архитектор,Бар,"Владимирская, Достоевская",300.0,8.8,8.7,8.8,7.0,distr_Centr
259,Orthodox Russian Bar,Бар,"Владимирская, Достоевская",200.0,8.9,9.1,8.9,6.0,distr_Centr
260,Crazy Wine,Бар,Маяковская,1000.0,8.0,8.5,7.8,80.0,distr_Centr
261,Бекицер,Бар,"Владимирская, Достоевская",500.0,7.6,7.0,6.9,64.0,distr_Centr
262,Фартук,Кафе,"Владимирская, Достоевская",1000.0,7.2,7.6,6.9,60.0,distr_Centr
263,Гирлянда Steak Shop&Show,Ресторан,"Владимирская, Достоевская, Маяковская, Площадь Восстания",1200.0,8.0,7.8,8.3,27.0,distr_Centr
264,J. Ramen,undefined,"Владимирская, Достоевская",1050.0,6.6,6.6,5.9,16.0,distr_Centr
265,Waterloo,Гастробар,"Достоевская, Маяковская",1100.0,8.0,8.1,7.4,31.0,distr_Centr
266,География,Бар,"Владимирская, Достоевская",1500.0,7.8,8.6,8.2,37.0,distr_Centr
268,Юнга Seafood & Bar,Ресторан,"Достоевская, Владимирская",1100.0,8.0,7.7,7.6,51.0,distr_Centr
270,Waff&Love,Кофейня,"Владимирская, Достоевская",400.0,7.8,7.4,7.7,18.0,distr_Centr
271,Барслона,Бар,"Невский Проспект, Гостиный Двор, Адмиралтейская",1000.0,7.1,8.1,7.3,17.0,distr_Centr
272,Nau,Кафе,"Владимирская, Достоевская",1100.0,7.8,7.8,7.9,4.0,distr_Centr
273,Каха бар,Кафе,"Достоевская, Владимирская",800.0,7.7,7.7,7.5,14.0,distr_Centr
274,Рубинштейн,Кафе,Достоевская,950.0,7.5,7.9,7.9,27.0,distr_Centr
275,48 стульев,Ресторан,"Владимирская, Достоевская, Маяковская, Площадь Восстания",1900.0,7.7,8.2,7.9,44.0,distr_Centr
276,Meat Coin,Ресторан,"Маяковская, Площадь Восстания",2000.0,7.4,7.8,7.1,25.0,distr_Centr
277,Tesla Bar,Бар,"Владимирская, Достоевская",1000.0,6.0,8.4,6.2,25.0,distr_Centr
278,Burger & Crab,Ресторан,"Владимирская, Достоевская",1500.0,8.1,7.0,7.7,29.0,distr_Centr
284,Asiatiq,Кафе,"Садовая, Спасская, Сенная Площадь",600.0,7.8,8.2,8.4,13.0,distr_Centr
286,Шоколадница,Кофейня,"Невский Проспект, Гостиный Двор",800.0,6.8,7.1,6.9,12.0,distr_Centr
287,"Вини, пани и салями",Кафе,Невский Проспект,1000.0,0.0,0.0,0.0,2.0,distr_Centr
289,Никольские ряды,Фудмаркет,"Садовая, Спасская, Сенная Площадь",500.0,7.5,7.7,5.0,2.0,distr_Centr
290,Food Cup,Кафе,"Сенная Площадь, Садовая, Спасская",200.0,0.0,0.0,0.0,2.0,distr_Centr
295,Salone Pasta & bar,Ресторан,"Гостиный Двор, Невский Проспект",1300.0,8.0,7.0,7.0,1.0,distr_Centr
297,Gitano,Ресторан,"Гостиный Двор, Невский Проспект",1600.0,8.0,6.0,8.0,1.0,distr_Centr
299,Ultramen,Кафе,"Сенная Площадь, Садовая, Спасская, Звенигородская",500.0,6.4,7.3,6.4,2.0,distr_Centr
300,Branch Garage,Бар,Лиговский Проспект,500.0,0.0,0.0,0.0,3.0,distr_Centr
305,Bolla,Пиццерия,"Невский Проспект, Гостиный Двор",1000.0,0.0,0.0,0.0,2.0,distr_Centr
310,Альбион Диккенс,Ресторан,"Садовая, Сенная Площадь, Технологический Институт, Спасская",2200.0,9.5,9.8,9.7,165.0,distr_Centr
313,Mendeleev Bar,Бар,"Гостиный Двор, Невский Проспект, Садовая, Сенная Площадь, Спасская",1000.0,8.4,8.3,8.4,103.0,distr_Centr
314,Иван да Марья,Гастробар,Гостиный Двор,1150.0,8.4,7.9,8.5,41.0,distr_Centr
318,Diskette Lounge,Кальянная,"Садовая, Спасская, Сенная Площадь",900.0,9.7,9.3,9.9,60.0,distr_Centr
324,Art-Caviar,Ресторан,"Невский Проспект, Гостиный Двор",1000.0,8.9,8.8,8.9,9.0,distr_Centr
326,Chili Cafe,Ресторан,"Невский Проспект, Гостиный Двор",1400.0,7.6,9.7,9.5,11.0,distr_Centr
328,Le Vernissage,Ресторан,"Садовая, Сенная Площадь, Спасская",2000.0,8.5,9.3,9.3,34.0,distr_Centr
330,Люблю: Led. Wine. Love's,Бар,Гостиный Двор,660.0,8.4,9.3,9.3,9.0,distr_Centr
334,Рассветы / закаты,Ресторан,"Сенная Площадь, Садовая, Спасская",1200.0,7.0,8.9,7.3,6.0,distr_Centr
335,Luce,Ресторан,"Невский Проспект, Гостиный Двор",2050.0,7.5,8.4,7.1,28.0,distr_Centr
336,Таврический сад,Ресторан,Чернышевская,2500.0,8.5,9.2,8.6,19.0,distr_Centr
343,Leth,Ресторан,"Звенигородская, Пушкинская",1300.0,0.0,0.0,0.0,2.0,distr_Centr
345,SB Burgers,Кафе,"Площадь Восстания, Маяковская",600.0,6.0,7.3,7.1,16.0,distr_Centr
358,Оранжерея Таврического сада,Банкетный зал,Чернышевская,2000.0,0.0,0.0,0.0,1.0,distr_Centr
364,Дом кино,Банкетный зал,"Невский Проспект, Гостиный Двор",700.0,8.6,9.0,8.3,38.0,distr_Centr
366,Кореана,Ресторан,Сенная Площадь,500.0,7.7,7.3,7.9,24.0,distr_Centr
368,Porto Maltese,Ресторан,"Садовая, Сенная Площадь, Спасская",2200.0,9.4,8.4,9.6,5.0,distr_Centr
371,Мезонин,Ресторан,"Невский Проспект, Гостиный Двор",2700.0,9.3,9.4,9.0,40.0,distr_Centr
377,ЧаЧа,Ресторан,Невский Проспект,1000.0,7.8,8.2,7.7,34.0,distr_Centr
382,The Right Place,Ресторан,"Невский Проспект, Гостиный Двор",1700.0,8.0,7.6,7.9,15.0,distr_Centr
383,Вино & Вода,Ресторан,Чернышевская,2300.0,7.7,8.5,7.9,28.0,distr_Centr
384,Ревень,Ресторан,"Невский Проспект, Гостиный Двор",850.0,8.8,8.9,9.2,12.0,distr_Centr
386,Австерия,Кафе,Чернышевская,700.0,9.0,9.6,8.9,27.0,distr_Centr
387,Штакеншнейдер,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",2500.0,8.5,9.5,9.0,57.0,distr_Centr
388,Зингеръ,Кафе,"Невский Проспект, Гостиный Двор",1200.0,6.0,8.1,5.1,41.0,distr_Centr
389,Janno,Ресторан,"Невский Проспект, Гостиный Двор, Адмиралтейская",1200.0,8.7,8.1,8.4,11.0,distr_Centr
390,Натахтари,Ресторан,Чернышевская,1000.0,7.4,7.1,6.8,30.0,distr_Centr
392,The Buddy Cafe,Кафе,"Достоевская, Владимирская",800.0,8.5,8.7,8.3,118.0,distr_Centr
393,Charlie,Ресторан,"Садовая, Спасская, Сенная Площадь",900.0,8.2,8.5,8.8,31.0,distr_Centr
394,Квартира,Кальянная,"Гостиный Двор, Невский Проспект",1000.0,9.0,9.3,9.4,131.0,distr_Centr
395,Щелкунчик,Ресторан,"Маяковская, Площадь Восстания",250.0,8.5,8.9,8.5,235.0,distr_Centr
396,Баязет,Ресторан,"Садовая, Сенная Площадь, Технологический Институт",1200.0,8.7,8.7,8.8,77.0,distr_Centr
400,Maria Karlotta,Ресторан,"Невский Проспект, Гостиный Двор, Спортивная",1600.0,9.9,9.5,9.6,9.0,distr_Centr
407,Роял Пицца,Пиццерия,"Садовая, Сенная Площадь, Спасская",650.0,7.4,8.2,8.0,20.0,distr_Centr
408,Водограй,Ресторан,"Гостиный Двор, Невский Проспект, Маяковская",1250.0,7.8,8.9,7.5,19.0,distr_Centr
410,Старгород,Ресторан,"Невский Проспект, Гостиный Двор",1100.0,7.9,8.2,7.8,69.0,distr_Centr
411,Клумба,Кафе,"Площадь Восстания, Маяковская",800.0,8.5,9.4,8.7,82.0,distr_Centr
412,2A concept,Кофейня,"Сенная Площадь, Садовая, Спасская",300.0,9.0,8.9,8.3,101.0,distr_Centr
414,Feel Fresh Bar,Кафе,Чернышевская,1000.0,0.0,0.0,0.0,6.0,distr_Centr
418,Сытинъ,Ресторан,"Технологический Институт, Садовая, Сенная Площадь, Спасская",1400.0,8.7,9.6,8.6,99.0,distr_Centr
419,Hugs Bar,Кафе,"Сенная Площадь, Спасская, Садовая",1300.0,9.2,9.6,9.8,25.0,distr_Centr
421,Бакалавриат,Бар,"Маяковская, Площадь Восстания",900.0,8.9,9.1,9.2,7.0,distr_Centr
424,Българ,Ресторан,Садовая,1500.0,9.5,9.4,9.6,17.0,distr_Centr
427,Арбат,Ресторан,Чернышевская,1100.0,9.6,9.6,9.6,11.0,distr_Centr
432,Чечил,Ресторан,"Площадь Восстания, Чернышевская",1500.0,8.2,8.1,8.1,26.0,distr_Centr
435,Сидрерия,Бар,"Гостиный Двор, Чернышевская, Маяковская",800.0,7.2,6.9,7.0,17.0,distr_Centr
438,Фунт изюма,Кафе,Звенигородская,800.0,9.2,10.0,10.0,2.0,distr_Centr
442,Zoom,Кафе,"Садовая, Сенная Площадь, Невский Проспект, Гостиный Двор, Спасская",750.0,8.4,8.5,8.5,101.0,distr_Centr
444,Идиот,Ресторан,"Садовая, Сенная Площадь, Спасская",1300.0,7.9,8.3,7.7,14.0,distr_Centr
445,Cafe Voyage,Кафе,"Пушкинская, Звенигородская",850.0,8.8,8.2,8.3,12.0,distr_Centr
446,Изба Русская кухня,Кафе,"Садовая, Сенная Площадь, Спасская",1000.0,8.2,8.7,8.3,29.0,distr_Centr
447,Косуля,Кафе,"Гостиный Двор, Невский Проспект",700.0,8.1,7.5,7.2,5.0,distr_Centr
450,"Нож справа, вилка слева",Ресторан,Чернышевская,1300.0,8.4,8.2,8.6,26.0,distr_Centr
451,Охотничий клуб,Ресторан,"Чернышевская, Маяковская, Площадь Восстания",1500.0,9.1,8.9,8.8,43.0,distr_Centr
452,Нептун,Ресторанный комплекс,"Лиговский Проспект, Пушкинская, Звенигородская, Обводный канал",1500.0,9.0,9.0,8.2,5.0,distr_Centr
456,Public Cafe,Кафе,"Садовая, Сенная Площадь, Спасская",1000.0,9.1,8.1,8.2,5.0,distr_Centr
459,Атриум-кафе «Версаль»,Ресторан,"Маяковская, Площадь Восстания",1600.0,8.3,10.0,7.4,5.0,distr_Centr
460,William Bass,Паб,"Площадь Восстания, Маяковская",1300.0,7.4,8.3,7.1,69.0,distr_Centr
462,Боккаччо,Кафе,Лиговский Проспект,1000.0,7.8,8.1,7.8,13.0,distr_Centr
467,Kroo Cafe,Ресторан,"Чернышевская, Площадь Восстания",1800.0,7.5,8.3,7.8,20.0,distr_Centr
469,Dickens Pub,Паб,"Садовая, Сенная Площадь, Технологический Институт, Спасская",1200.0,8.0,8.1,7.7,74.0,distr_Centr
470,Смольнинский,Ресторан,Чернышевская,1150.0,7.6,8.9,9.1,7.0,distr_Centr
473,Музей кофе,Кондитерская,Чернышевская,200.0,8.0,7.7,7.7,2.0,distr_Centr
474,Астерия,Ресторан,"Садовая, Сенная Площадь, Спасская",1100.0,8.8,8.0,7.7,7.0,distr_Centr
475,Pho'n'Roll Сafe,Кафе,"Площадь Восстания, Маяковская",700.0,8.3,8.4,8.2,72.0,distr_Centr
478,Брынза,Кафе,"Пушкинская, Звенигородская",500.0,7.7,7.4,7.7,12.0,distr_Centr
480,Prostovino,Винотека,"Гостиный Двор, Невский Проспект",1000.0,7.5,6.9,7.8,17.0,distr_Centr
482,Olivetto,Ресторан,"Маяковская, Площадь Восстания",2000.0,9.1,6.5,8.1,4.0,distr_Centr
485,Hygge,Кафе,Чернышевская,800.0,7.0,8.0,6.6,5.0,distr_Centr
486,Рим,Ресторан,"Садовая, Сенная Площадь, Спасская",1350.0,8.3,6.4,8.6,12.0,distr_Centr
487,Транс-Форс,Ресторан,"Пушкинская, Звенигородская",750.0,5.6,9.0,8.4,6.0,distr_Centr
488,Буше,Кафе,"Маяковская, Площадь Восстания",300.0,6.9,7.7,6.9,34.0,distr_Centr
489,Doris Local,Кофейня,"Площадь Восстания, Маяковская",300.0,6.1,7.3,5.8,3.0,distr_Centr
490,La Presse,Ресторан,"Маяковская, Площадь Восстания",1250.0,7.3,8.2,8.3,49.0,distr_Centr
491,Le Moujik,Ресторан,"Гостиный Двор, Маяковская",1700.0,7.7,6.2,7.0,7.0,distr_Centr
492,Mingle,Кафе,Чернышевская,800.0,8.2,6.7,8.2,7.0,distr_Centr
493,Веселидзе,Ресторан,"Площадь Восстания, Маяковская, Чернышевская",1100.0,8.0,6.9,7.3,24.0,distr_Centr
503,Аларчин мост,Кафе,"Садовая, Сенная Площадь, Спасская",600.0,7.6,7.7,5.4,9.0,distr_Centr
504,Прекрасная Зеленая,Кафе,"Гостиный Двор, Чернышевская, Маяковская, Площадь Восстания",550.0,7.8,8.3,6.8,10.0,distr_Centr
506,Антракт,Кафе,"Невский Проспект, Гостиный Двор",750.0,6.9,7.2,9.0,3.0,distr_Centr
509,Tower,Паб,"Невский Проспект, Гостиный Двор",750.0,6.2,7.1,7.2,20.0,distr_Centr
512,The Coffee&Breakfast,Кофейня,"Невский Проспект, Гостиный Двор",600.0,4.0,4.9,4.5,9.0,distr_Centr
515,Any Pasta,Кафе,"Невский Проспект, Гостиный Двор, Адмиралтейская",1200.0,5.3,6.6,6.3,14.0,distr_Centr
516,Der Spieler,Ресторан,"Садовая, Сенная Площадь, Спасская",1100.0,6.4,7.0,5.6,10.0,distr_Centr
520,Пироговый дворик,Пекарня,"Невский Проспект, Гостиный Двор",500.0,7.0,5.6,5.0,7.0,distr_Centr
521,Заводные яйца,Кафе,Чернышевская,800.0,6.5,8.1,4.9,17.0,distr_Centr
525,Иль Патио,Ресторан,"Невский Проспект, Гостиный Двор",800.0,5.8,6.2,4.9,58.0,distr_Centr
527,Африка,Кафе,"Лиговский Проспект, Обводный канал",500.0,4.7,4.0,5.7,4.0,distr_Centr
528,White Fox,Кафе,Лиговский Проспект,850.0,0.0,0.0,0.0,6.0,distr_Centr
530,Cake & Breakfast,Кафе,Чернышевская,500.0,0.0,0.0,0.0,3.0,distr_Centr
531,Пури оджахури,Кафе,"Владимирская, Достоевская",1200.0,0.0,0.0,0.0,4.0,distr_Centr
532,Парадная,Кофейня,Чернышевская,150.0,0.0,0.0,0.0,1.0,distr_Centr
534,Barraquito,Кафе,"Невский Проспект, Гостиный Двор",1000.0,0.0,0.0,0.0,1.0,distr_Centr
535,Pizza Sushi Wok,Кафе,"Садовая, Спасская, Сенная Площадь",800.0,0.0,0.0,0.0,2.0,distr_Centr
538,Два гуся,Кафе,Маяковская,300.0,7.0,7.5,6.6,8.0,distr_Centr
540,Джулия,Ресторан,"Лиговский Проспект, Обводный канал",900.0,0.0,0.0,0.0,3.0,distr_Centr
