,Title,type,subway,check,score_Кухня,score_Интерьер,score_Сервис,votes,district
9024,Steak Bar Sobolev,Стейк-хаус,"Садовая, Сенная Площадь, Спасская",1000.0,7.0,7.1,7.4,6.0,distr_others
9026,Веранда,Ресторан,"Маяковская, Площадь Восстания",900.0,7.9,6.7,7.7,6.0,distr_others
9028,Бородино,Кафе,Балтийская,750.0,7.5,8.6,6.1,22.0,distr_others
9030,Дзамико,Кафе,Адмиралтейская,700.0,5.9,6.3,6.7,8.0,distr_others
9032,Warsteiner Forum,Кафе,"Маяковская, Площадь Восстания",900.0,6.8,6.2,6.8,10.0,distr_others
9033,Poema,Банкетный зал,"Садовая, Сенная Площадь, Спасская",2200.0,5.9,7.0,7.0,3.0,distr_others
9035,Bar Garcon,Ресторан,Адмиралтейская,750.0,7.5,6.6,6.9,5.0,distr_others
9036,Thai Way Cafe,Кафе,Адмиралтейская,800.0,5.7,6.0,6.4,4.0,distr_others
9037,Лента Мебиуса,Ресторан,"Садовая, Сенная Площадь, Спасская",900.0,5.1,5.6,4.7,15.0,distr_others
9038,Осака,Ресторан,"Маяковская, Площадь Восстания",1000.0,4.6,6.4,4.3,14.0,distr_others
9039,La Cantine,Банкетный зал,Старая Деревня,1100.0,10.0,10.0,9.6,12.0,distr_others
9040,Я люблю хинкали и пиво,Кафе,"Садовая, Сенная Площадь, Спасская",800.0,7.7,7.7,6.8,8.0,distr_others
9041,Отмечаем Provence,Банкетный зал,Комендантский Проспект,2000.0,9.5,9.9,9.5,14.0,distr_others
9042,Trizet,Кафе,Технологический Институт,850.0,0.0,0.0,0.0,1.0,distr_others
9043,Дельфин,Кафе,"Садовая, Сенная Площадь, Спасская",650.0,0.0,0.0,0.0,10.0,distr_others
9044,Краб всему голова,Корнер,"Площадь Восстания, Маяковская",600.0,3.4,8.0,4.4,5.0,distr_others
9046,Амальфи,Банкетный зал,Площадь Александра Невского,1690.0,9.3,9.7,9.4,22.0,distr_others
9047,Силуэт,Банкетный зал,"Озерки, Проспект Просвещения",1500.0,9.8,8.8,10.0,6.0,distr_others
9048,Family Hall,Банкетный зал,Международная,1500.0,10.0,10.0,9.5,7.0,distr_others
9049,"О, мой боул!",Кафе,"Сенная Площадь, Садовая, Спасская",700.0,0.0,0.0,0.0,3.0,distr_others
9050,Праз-д-ник,Банкетный зал,Парк Победы,1950.0,9.2,9.3,8.9,61.0,distr_others
9052,Lilac,Банкетный зал,"Московская, Звездная",1500.0,8.3,9.5,9.9,8.0,distr_others
9054,Poke Wave,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,4.0,distr_others
9060,Князь Потемкин,Банкетный зал,undefined,950.0,7.6,8.9,7.3,8.0,distr_others
9061,Жак де Рик,Банкетный зал,"Лиговский Проспект, Обводный канал",1500.0,7.7,9.0,6.0,12.0,distr_others
9062,Желание,Банкетный зал,Ладожская,1500.0,0.0,0.0,0.0,21.0,distr_others
9063,Ниагара,Банкетный зал,"Садовая, Сенная Площадь, Спасская",1700.0,0.0,0.0,0.0,2.0,distr_others
9064,Эрмитажная кухня,Банкетный зал,undefined,1000.0,0.0,0.0,0.0,5.0,distr_others
9065,Коркино Lake,Банкетный зал,undefined,1200.0,0.0,0.0,0.0,3.0,distr_others
9066,Фламбе,Банкетный зал,"Садовая, Нарвская",1640.0,0.0,0.0,0.0,1.0,distr_others
9067,ХХI век,Банкетный зал,"Автово, Кировский Завод",800.0,0.0,0.0,0.0,1.0,distr_others
9068,Дом на набережной,Банкетный зал,Выборгская,1000.0,0.0,0.0,0.0,1.0,distr_others
9072,Grand Raw Bar,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,2.0,distr_others
9073,Клюква,Кафе,Площадь Восстания,450.0,0.0,0.0,0.0,4.0,distr_others
9075,Счастливый,Банкетный зал,Проспект Большевиков,700.0,0.0,0.0,0.0,1.0,distr_others
9076,Тиара,Банкетный зал,undefined,1500.0,0.0,0.0,0.0,2.0,distr_others
9078,Akyan,Ресторан,Площадь Восстания,1300.0,0.0,0.0,0.0,1.0,distr_others
9079,Amnesia,Банкетный зал,undefined,2000.0,0.0,0.0,0.0,3.0,distr_others
9080,Алмаз Холл,Банкетный зал,Новочеркасская,350.0,0.0,0.0,0.0,1.0,distr_others
9081,Частный клуб,Банкетный зал,Проспект Просвещения,1800.0,0.0,0.0,0.0,3.0,distr_others
9083,Ричард Гирос,Корнер,"Площадь Восстания, Маяковская",600.0,0.0,0.0,0.0,1.0,distr_others
9084,Фо-лигов,Ресторан,Площадь Восстания,750.0,0.0,0.0,0.0,3.0,distr_others
9086,Great Punjab,Ресторан,"Маяковская, Площадь Восстания",1000.0,0.0,0.0,0.0,1.0,distr_others
